DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5350.7639  18.9995    8.8952     1258.0496  1950.0000  0.0069     0.0010     0.0326     0.0385     
5350.9163  29.2372    8.8558     1322.3835  1950.0000  0.0086     0.0022     0.0365     0.0439     
5351.0687  43.1166    8.8153     1446.0601  1950.0000  0.0121     0.0063     0.0398     0.0492     
5351.2211  53.6109    8.7711     1519.1852  1950.0000  0.0156     0.0143     0.0431     0.0545     
5351.3735  53.7019    8.7217     1286.5166  1950.0000  0.0341     0.2224     0.0611     0.0765     
5351.5259  43.4923    8.7155     854.4013   1950.0000  0.0505     1.0432     0.0862     0.1027     
5351.6783  36.6659    8.7691     542.1877   1950.0000  0.0522     1.1939     0.0978     0.1089     
5351.8307  37.3774    8.8133     353.7635   1950.0000  0.0459     0.7151     0.0928     0.0988     
5351.9831  43.3575    8.8515     327.0223   1950.0000  0.0395     0.3990     0.0879     0.0886     
5352.1355  50.5662    8.8515     335.0328   1949.9995  0.0285     0.1148     0.0714     0.0714     
5352.2879  56.8699    8.7731     295.9278   1925.7407  0.0273     0.1065     0.0710     0.0771     
5352.4403  51.0177    8.7257     295.9970   1821.3882  0.0493     0.9765     0.0983     0.1134     
5352.5927  36.2913    8.6713     286.4742   1772.9420  0.0579     1.8099     0.1094     0.1243     
5352.7451  19.1833    8.7185     391.7027   1920.0473  0.0664     3.1184     0.1205     0.1353     
5352.8975  14.5316    8.7363     292.3237   1793.0441  0.0752     5.1412     0.1318     0.1427     
5353.0499  14.1880    8.7354     234.1980   1437.4014  0.0741     4.8641     0.1357     0.1398     
5353.2023  14.3032    8.7384     184.5858   793.8220   0.0656     2.9608     0.1273     0.1302     
5353.3547  12.8591    8.6855     160.9971   1151.9035  0.0631     2.5401     0.1213     0.1257     
5353.5071  12.3003    8.7101     197.9832   1296.3989  0.0607     2.1670     0.1154     0.1213     
