DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5362.3364  -999.0000  -999.0000  -999.0000  -999.0000  0.0002     0.0000     0.0014     0.0015     
5362.4888  40.1190    15.8928    365.1404   1950.0000  0.0000     0.0000     0.0038     0.0039     
5362.6412  38.6629    15.8693    400.2789   1950.0000  0.0000     0.0000     0.0046     0.0046     
5362.7936  32.7069    15.8342    288.3076   1950.0000  0.0002     0.0000     0.0059     0.0063     
5362.9460  24.0996    15.8146    251.6059   1950.0000  0.0006     0.0000     0.0055     0.0068     
5363.0984  23.4376    15.7834    167.3686   1950.0000  0.0009     0.0000     0.0044     0.0060     
5363.2508  26.2918    15.8752    123.5959   1949.9983  0.0008     0.0000     0.0024     0.0030     
5363.4032  29.8550    15.9045    128.3746   1791.4951  0.0004     0.0000     0.0013     0.0028     
5363.5556  30.4150    15.9397    170.7321   1541.1949  0.0002     0.0000     0.0007     0.0053     
5363.7080  26.1831    16.0022    180.7299   1013.5169  0.0010     0.0000     0.0013     0.0077     
5363.8604  20.4123    15.9631    195.7036   498.7185   0.0089     33476.2034 0.0099     0.0156     
5364.0128  15.9135    15.8224    182.7048   305.8815   0.0307     222034622.00.0329     0.0337     
5364.1652  13.8282    15.7756    306.3032   252.5926   0.0440     960410431.50.0443     0.0443     
5364.3176  13.8880    14.9863    261.1006   315.2144   0.0429     29.5306    0.0459     0.0459     
5364.4700  13.5459    14.2517    193.5870   73.7027    0.0410     1.0947     0.0517     0.0520     
5364.6224  12.4337    12.9627    222.3403   108.7645   0.0479     1.4647     0.0654     0.0690     
5364.7748  11.4997    12.8513    283.4026   190.4715   0.0670     4.2353     0.0880     0.0988     
5364.9272  9.9813     12.8142    352.2228   356.8148   0.0644     3.5997     0.0859     0.0959     
5365.0796  9.8186     12.7986    467.1613   411.2518   0.0573     2.0876     0.0819     0.0890     
