DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5417.3316  13.4010    12.2594    -999.0000  -999.0000  0.0987     26.0908    0.1284     0.1327     
5417.3570  13.4010    12.2776    -999.0000  -999.0000  0.0987     26.0908    0.1284     0.1327     
5417.3824  13.4010    12.2667    -999.0000  -999.0000  0.0987     26.0908    0.1284     0.1327     
5417.4078  13.4010    12.2812    -999.0000  -999.0000  0.0987     26.0908    0.1284     0.1327     
5417.4332  13.4254    12.2740    891.8967   1935.0730  0.1167     52.3206    0.1454     0.1559     
5417.4586  13.4254    12.2667    943.5103   1950.0000  0.1167     52.3206    0.1454     0.1559     
5417.4840  13.4254    12.2812    -999.0000  -999.0000  0.1167     52.3206    0.1454     0.1559     
5417.5094  13.4254    12.2740    -999.0000  -999.0000  0.1167     52.3206    0.1454     0.1559     
5417.5348  13.4254    12.2667    -999.0000  -999.0000  0.1167     52.3206    0.1454     0.1559     
5417.5602  13.4254    12.2740    -999.0000  -999.0000  0.1167     52.3206    0.1454     0.1559     
5417.5856  12.3297    12.2612    961.1296   1950.0000  0.1242     66.8817    0.1543     0.1660     
5417.6110  12.3297    12.2594    944.1727   1950.0000  0.1242     66.8817    0.1543     0.1660     
5417.6364  12.3297    12.2503    -999.0000  -999.0000  0.1242     66.8817    0.1543     0.1660     
5417.6618  12.3297    12.2667    -999.0000  -999.0000  0.1242     66.8817    0.1543     0.1660     
5417.6872  12.3297    12.2667    -999.0000  -999.0000  0.1242     66.8817    0.1543     0.1660     
5417.7126  12.3297    12.2740    -999.0000  -999.0000  0.1242     66.8817    0.1543     0.1660     
5417.7380  12.8313    12.2594    915.7951   1950.0000  0.1277     73.3640    0.1593     0.1716     
5417.7634  12.8313    12.2667    843.2864   1950.0000  0.1277     73.3640    0.1593     0.1716     
5417.7888  12.8313    12.2740    -999.0000  -999.0000  0.1277     73.3640    0.1593     0.1716     
5417.8142  12.8313    12.2740    -999.0000  -999.0000  0.1277     73.3640    0.1593     0.1716     
5417.8396  12.8313    12.2885    -999.0000  -999.0000  0.1277     73.3640    0.1593     0.1716     
5417.8650  12.8313    12.2667    -999.0000  -999.0000  0.1277     73.3640    0.1593     0.1716     
5417.8904  13.4859    12.2721    838.7914   1950.0000  0.1198     52.7870    0.1531     0.1643     
5417.9158  13.4859    12.2667    821.8365   1950.0000  0.1198     52.7870    0.1531     0.1643     
5417.9412  13.4859    12.2812    -999.0000  -999.0000  0.1198     52.7870    0.1531     0.1643     
5417.9666  13.4859    12.2812    -999.0000  -999.0000  0.1198     52.7870    0.1531     0.1643     
5417.9920  13.4859    12.2721    -999.0000  -999.0000  0.1198     52.7870    0.1531     0.1643     
5418.0174  13.4859    12.2740    -999.0000  -999.0000  0.1198     52.7870    0.1531     0.1643     
5418.0428  14.4030    12.2812    665.3351   1950.0000  0.1033     26.0028    0.1369     0.1474     
5418.0682  14.4030    12.2776    419.6173   1950.0000  0.1033     26.0028    0.1369     0.1474     
5418.0936  14.4030    12.2812    -999.0000  -999.0000  0.1033     26.0028    0.1369     0.1474     
5418.1190  14.4030    12.2812    -999.0000  -999.0000  0.1033     26.0028    0.1369     0.1474     
5418.1444  14.4030    12.2740    -999.0000  -999.0000  0.1033     26.0028    0.1369     0.1474     
5418.1698  14.4030    12.2667    -999.0000  -999.0000  0.1033     26.0028    0.1369     0.1474     
5418.1953  13.0696    12.2667    339.2286   1949.4128  0.0857     11.1240    0.1158     0.1274     
5418.2207  13.0696    12.2740    380.4653   1883.3197  0.0857     11.1240    0.1158     0.1274     
5418.2461  13.0696    12.2721    -999.0000  -999.0000  0.0857     11.1240    0.1158     0.1274     
5418.2715  13.0696    12.2740    -999.0000  -999.0000  0.0857     11.1240    0.1158     0.1274     
5418.2969  13.0696    12.2594    -999.0000  -999.0000  0.0857     11.1240    0.1158     0.1274     
5418.3223  13.0696    12.2740    -999.0000  -999.0000  0.0857     11.1240    0.1158     0.1274     
5418.3477  13.8254    12.2667    476.1089   1835.3639  0.0801     8.4427     0.1071     0.1193     
5418.3731  13.8254    12.2612    508.2340   1735.4061  0.0801     8.4427     0.1071     0.1193     
5418.3985  13.8254    12.2594    -999.0000  -999.0000  0.0801     8.4427     0.1071     0.1193     
5418.4239  13.8254    12.2667    -999.0000  -999.0000  0.0801     8.4427     0.1071     0.1193     
5418.4493  13.8254    12.2594    -999.0000  -999.0000  0.0801     8.4427     0.1071     0.1193     
5418.4747  13.8254    12.2594    -999.0000  -999.0000  0.0801     8.4427     0.1071     0.1193     
5418.5001  14.2718    12.2503    528.4359   1632.9438  0.0754     6.6178     0.0999     0.1126     
5418.5255  14.2718    12.2594    487.6655   1535.0378  0.0754     6.6178     0.0999     0.1126     
5418.5509  14.2718    12.2521    -999.0000  -999.0000  0.0754     6.6178     0.0999     0.1126     
5418.5763  14.2718    12.2667    -999.0000  -999.0000  0.0754     6.6178     0.0999     0.1126     
5418.6017  14.2718    12.2612    -999.0000  -999.0000  0.0754     6.6178     0.0999     0.1126     
