DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5459.2728  18.3967    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5459.4252  18.5937    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5459.5776  18.7538    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5459.7300  18.8920    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5459.8824  18.5790    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.0348  18.0281    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.1872  17.9101    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.3396  18.2734    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.4920  19.1295    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.6444  20.7579    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.7968  22.9348    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5460.9492  24.7677    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5461.1016  26.3826    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5461.2540  29.0293    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5461.4064  32.4505    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5461.5588  36.6767    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
5461.7112  41.3343    -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  -999.0000  
