DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5437.0772  32.0282    16.7191    5.7497     150.5599   0.0002     0.0000     0.0002     0.0100     
5437.2296  28.9702    16.6783    11.5784    97.0662    0.0003     0.0000     0.0003     0.0075     
5437.3820  21.6167    16.6803    9.3896     105.1679   0.0006     0.0000     0.0021     0.0059     
5437.5344  15.6895    16.6621    10.2514    103.5613   0.0007     0.0000     0.0029     0.0058     
5437.6868  11.7468    16.6612    9.9125     106.6762   0.0008     0.0000     0.0012     0.0041     
5437.8392  9.8454     16.6760    10.1296    137.4779   0.0001     0.0000     0.0017     0.0043     
5437.9916  9.3616     16.6750    10.0265    185.8501   0.0000     0.0000     0.0003     0.0069     
5438.1440  10.0990    16.7015    10.9388    273.8621   0.0000     0.0000     0.0004     0.0050     
5438.2964  10.8945    16.7089    11.6824    419.3832   0.0000     0.0000     0.0009     0.0057     
5438.4488  11.4473    16.7216    12.6574    650.4745   0.0000     0.0000     0.0014     0.0069     
5438.6012  9.7366     16.7119    14.1957    989.8633   0.0000     0.0000     0.0054     0.0064     
5438.7536  10.4077    16.7186    15.7569    1372.4361  0.0000     0.0000     0.0038     0.0038     
5438.9060  10.1229    16.6939    16.2029    1689.5257  0.0000     0.0000     0.0020     0.0053     
5439.0584  10.5825    16.6495    16.6454    1868.5937  0.0001     0.0000     0.0012     0.0058     
5439.2108  9.3391     16.6325    17.8401    1927.5775  0.0003     0.0000     0.0005     0.0054     
5439.3632  9.3457     16.6453    18.5820    1902.9806  0.0004     0.0000     0.0004     0.0046     
5439.5156  10.0446    16.6675    19.1014    1780.1022  0.0001     0.0000     0.0009     0.0023     
5439.6680  10.9171    16.6665    20.7077    1592.1663  0.0000     0.0000     0.0032     0.0039     
5439.8204  10.7729    16.6752    22.8148    1341.5667  0.0000     0.0000     0.0036     0.0055     
