DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          GAPI       IN         OHMM       OHMM       Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5329.5804  30.1390    15.5280    43.3224    47.0890    0.0000     0.0000     0.0000     0.0072     
5329.7328  25.9287    16.0129    40.1791    32.5868    0.0000     0.0000     0.0016     0.0051     
5329.8852  19.1933    16.6161    43.1994    100.1608   0.0000     0.0000     0.0031     0.0031     
5330.0376  14.7409    16.8846    51.3816    145.8128   0.0001     0.0000     0.0037     0.0037     
5330.1900  13.3592    17.1170    62.4895    218.2198   0.0000     0.0000     0.0014     0.0014     
5330.3424  10.3612    17.0811    87.8250    373.9452   0.0003     0.0000     0.0003     0.0070     
5330.4948  10.4974    17.0258    133.6259   714.1933   0.0006     0.0000     0.0006     0.0057     
5330.6472  9.5258     17.0734    208.3238   1490.9543  0.0008     0.0000     0.0008     0.0043     
5330.7996  10.2207    17.0829    242.7794   1735.3110  0.0008     0.0000     0.0043     0.0044     
5330.9520  9.0158     17.0362    199.5934   1949.9111  0.0015     0.0000     0.0056     0.0056     
5331.1044  9.3243     17.0011    171.1812   1950.0000  0.0021     0.0000     0.0052     0.0052     
5331.2568  8.6714     17.0245    149.3041   1950.0000  0.0019     0.0000     0.0052     0.0061     
5331.4092  8.1420     17.0721    139.7227   1950.0000  0.0017     0.0000     0.0051     0.0070     
5331.5616  10.9239    17.0730    136.8048   1949.9744  0.0009     0.0000     0.0037     0.0056     
5331.7140  12.7547    16.9925    115.1446   1819.4697  0.0007     0.0000     0.0024     0.0071     
5331.8664  15.8519    17.0123    112.0757   1014.2213  0.0000     0.0000     0.0027     0.0117     
5332.0188  17.0388    16.9319    98.0009    489.8352   0.0000     0.0000     0.0014     0.0102     
5332.1712  20.9812    16.9327    104.6550   244.6831   0.0000     0.0000     0.0000     0.0088     
5332.3236  26.8318    16.9319    78.3430    132.7427   0.0000     0.0000     0.0000     0.0000     
