DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          GAPI       IN         OHMM       OHMM       V/V        MD         V/V        V/V        
$Format : 11,11,11,11,11,11,11,11,11
5308.7016  10.7616    17.4049    212.2674   1950.0000  -999.0000  -999.0000  0.6037     -999.0000  
5308.8540  15.6743    17.3898    234.6023   1950.0000  -999.0000  -999.0000  0.6275     -999.0000  
5309.0064  19.9313    17.4038    268.6724   1950.0000  -999.0000  -999.0000  0.6351     -999.0000  
5309.1588  21.8262    17.4468    340.1465   1950.0000  -999.0000  -999.0000  0.6398     -999.0000  
5309.3112  24.2218    17.4838    422.1753   1950.0000  -999.0000  -999.0000  0.6509     -999.0000  
5309.4636  30.5042    17.5222    531.9662   1950.0000  -999.0000  -999.0000  0.6731     -999.0000  
5309.6160  38.6632    17.5386    660.7980   1950.0000  -999.0000  -999.0000  0.6952     -999.0000  
5309.7684  42.0327    17.4380    740.7371   1950.0000  -999.0000  -999.0000  0.7027     -999.0000  
5309.9208  37.0384    17.3285    721.9420   1950.0000  -999.0000  -999.0000  0.6995     -999.0000  
5310.0732  26.7658    17.3686    627.6614   1950.0000  -999.0000  -999.0000  0.6937     -999.0000  
5310.2256  17.0848    17.4939    526.9733   1950.0000  -999.0000  -999.0000  0.6888     -999.0000  
5310.3780  11.6492    17.5930    444.0070   1950.0000  -999.0000  -999.0000  0.6878     -999.0000  
5310.5304  9.9651     17.6197    390.6539   1950.0000  -999.0000  -999.0000  0.6926     -999.0000  
5310.6828  10.0120    17.5921    393.3473   1950.0000  -999.0000  -999.0000  0.6978     -999.0000  
5310.8352  11.4797    17.5527    429.3663   1950.0000  -999.0000  -999.0000  0.6976     -999.0000  
5310.9876  15.5541    17.5132    457.5816   1950.0000  -999.0000  -999.0000  0.6890     -999.0000  
5311.1400  22.3630    17.4903    485.6104   1950.0000  -999.0000  -999.0000  0.6655     -999.0000  
5311.2924  29.8042    17.4907    535.5334   1950.0000  -999.0000  -999.0000  0.6219     -999.0000  
5311.4448  35.4350    17.4735    596.1970   1950.0000  -999.0000  -999.0000  0.5546     -999.0000  
5311.5972  38.1961    17.3856    620.3406   1950.0000  -999.0000  -999.0000  0.4644     -999.0000  
5311.7496  39.0084    17.2524    587.9022   1950.0000  -999.0000  -999.0000  0.3663     -999.0000  
5311.9020  38.8183    17.1730    533.8336   1950.0000  -999.0000  -999.0000  0.3148     -999.0000  
5312.0545  37.2438    17.1409    493.5996   1950.0000  -999.0000  -999.0000  0.3579     -999.0000  
5312.2069  33.8377    17.0861    502.2927   1950.0000  -999.0000  -999.0000  0.4630     -999.0000  
5312.3593  28.7027    16.9787    549.7279   1950.0000  -999.0000  -999.0000  0.5771     -999.0000  
5312.5117  22.9901    16.8764    537.2538   1950.0000  -999.0000  -999.0000  0.6673     -999.0000  
5312.6641  18.3048    16.8422    620.4157   1949.9999  -999.0000  -999.0000  0.7163     -999.0000  
5312.8165  15.3144    16.8442    961.2678   1949.7948  -999.0000  -999.0000  0.7337     -999.0000  
5312.9689  14.0172    16.8464    605.0673   1934.1299  -999.0000  -999.0000  0.7374     -999.0000  
5313.1213  13.2977    16.8346    515.9552   1867.3876  -999.0000  -999.0000  0.7363     -999.0000  
5313.2737  12.4028    16.8105    417.3630   1778.9912  -999.0000  -999.0000  0.7342     -999.0000  
5313.4261  11.2968    16.8035    426.5168   1799.7441  -999.0000  -999.0000  0.7340     -999.0000  
5313.5785  11.2885    16.7807    381.4488   1915.7452  -999.0000  -999.0000  0.7349     -999.0000  
5313.7309  13.6021    16.7146    329.0568   1564.0646  -999.0000  -999.0000  0.7357     -999.0000  
5313.8833  17.4125    16.5698    307.0173   839.6479   -999.0000  -999.0000  0.7280     -999.0000  
5314.0357  19.5148    16.1517    320.5917   664.2366   -999.0000  -999.0000  0.6951     -999.0000  
5314.1881  18.5350    15.3409    347.7544   567.9276   -999.0000  -999.0000  0.6086     -999.0000  
5314.3405  15.9132    14.3082    381.3210   484.7764   -999.0000  -999.0000  0.4633     -999.0000  
5314.4929  13.6517    13.2993    244.6716   266.9656   -999.0000  -999.0000  0.3000     -999.0000  
5314.6453  12.6862    12.5938    112.6694   202.9687   -999.0000  -999.0000  0.1623     -999.0000  
5314.7977  12.4731    12.2790    145.1422   424.4652   -999.0000  -999.0000  0.0768     -999.0000  
5314.9501  12.4013    12.1926    195.8346   623.1520   -999.0000  -999.0000  0.0520     -999.0000  
5315.1025  12.0143    12.1716    267.4439   880.8128   -999.0000  -999.0000  0.0551     -999.0000  
5315.2549  12.1913    12.1611    395.0807   1129.7659  -999.0000  -999.0000  0.0651     -999.0000  
5315.4073  13.5852    12.1512    775.0469   1371.0789  -999.0000  -999.0000  0.0832     -999.0000  
5315.5597  15.3870    12.1382    1230.4873  1613.4833  -999.0000  -999.0000  0.1123     -999.0000  
5315.7121  16.1882    12.1358    1001.3115  1645.8622  -999.0000  -999.0000  0.1570     -999.0000  
5315.8645  14.9941    12.1521    956.1911   1495.5627  -999.0000  -999.0000  0.2629     -999.0000  
5316.0169  12.8421    12.1818    803.0940   1899.6926  -999.0000  -999.0000  0.4100     -999.0000  
5316.1693  10.6386    12.2128    609.6707   1785.8324  -999.0000  -999.0000  0.5177     -999.0000  
5316.3217  9.0460     12.2474    630.8795   1812.3119  -999.0000  -999.0000  0.5249     -999.0000  
5316.4741  9.2267     12.2901    1037.2122  1878.9961  -999.0000  -999.0000  0.4361     -999.0000  
5316.6265  11.7899    12.3167    1375.5872  1950.0000  -999.0000  -999.0000  0.3180     -999.0000  
5316.7789  16.3118    12.2874    1288.5119  1950.0000  -999.0000  -999.0000  0.2286     -999.0000  
5316.9313  20.3242    12.2326    1157.5740  1950.0000  -999.0000  -999.0000  0.1811     -999.0000  
5317.0837  22.0992    12.2128    1061.1353  1950.0000  0.1070     405.5753   0.1640     0.1671     
5317.2361  22.3603    12.2181    1014.6343  1950.0000  0.0847     309.1860   0.1548     0.1610     
