DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5472.2816  47.7211    12.3663    231.6666   279.8392   0.0039     0.0001     0.0211     0.0237     
5472.4340  49.4798    12.3719    191.7711   220.0073   0.0086     0.0062     0.0345     0.0356     
5472.5864  44.0249    12.3888    159.1014   171.1470   0.0246     0.1586     0.0664     0.0721     
5472.7388  33.7452    12.4522    130.8337   127.3464   0.0494     1.5153     0.1010     0.1117     
5472.8912  24.7742    12.4767    108.8168   94.6387    0.0723     4.7992     0.1199     0.1294     
5473.0436  20.8753    12.3316    94.7564    76.7074    0.0839     9.9548     0.1267     0.1318     
5473.1960  20.6552    12.3268    86.0739    67.7540    0.0883     14.5349    0.1232     0.1249     
5473.3484  20.7880    12.3242    77.8635    59.4544    0.0738     9.6984     0.0986     0.1001     
5473.5008  22.3414    12.3167    75.1574    55.0420    0.0516     1.7462     0.0744     0.0764     
5473.6532  24.8390    12.3120    86.1491    64.3826    0.0408     0.5033     0.0653     0.0653     
5473.8056  31.1970    12.3200    99.5867    79.5735    0.0400     0.4531     0.0659     0.0659     
5473.9580  38.1930    12.3222    107.4223   94.2892    0.0388     0.3889     0.0660     0.0660     
5474.1104  46.9995    12.3089    115.2233   117.7562   0.0360     0.2834     0.0632     0.0642     
5474.2628  52.3883    12.3191    120.8074   142.6370   0.0381     0.4533     0.0608     0.0647     
5474.4152  54.5997    12.3200    124.7759   157.4759   0.0518     1.9212     0.0701     0.0755     
5474.5676  49.3680    12.3222    132.2715   174.4411   0.0674     6.8543     0.0864     0.0898     
5474.7200  38.3146    12.3022    139.5374   190.2016   0.0882     22.5878    0.1093     0.1139     
5474.8724  26.1919    12.3099    144.8507   192.3367   0.1010     31.2833    0.1250     0.1363     
5475.0248  19.8158    12.3221    151.6098   193.9009   0.0838     11.2344    0.1073     0.1235     
