DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          GAPI       IN         OHMM       OHMM       Dec        mD         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5452.2624  23.5643    18.3020    2427.6038  1.4861     0.0000     0.0000     0.0000     0.0171     
5452.4148  28.4210    18.4530    2076.1254  1.4908     0.0000     0.0000     0.0139     0.0144     
5452.5672  32.3244    18.4530    1096.4103  1.4777     0.0005     0.0000     0.0078     0.0192     
5452.7196  30.8028    18.4530    491.6776   1.4990     0.0009     0.0000     0.0017     0.0240     
5452.8720  22.7726    18.4782    233.5024   1.4882     0.0002     0.0000     0.0008     0.0223     
5453.0244  13.3398    18.4782    179.7709   1.5079     0.0000     0.0000     0.0060     0.0087     
5453.1768  7.8685     18.4530    147.4249   1.5353     0.0009     0.0000     0.0039     0.0099     
5453.3292  6.4754     18.4782    133.4505   1.5482     0.0018     0.0000     0.0018     0.0112     
5453.4816  5.7936     18.4530    128.8333   1.5218     0.0000     0.0000     0.0060     0.0077     
5453.6340  5.4397     18.4782    125.7254   1.4971     0.0002     0.0000     0.0114     0.0114     
5453.7864  5.3113     18.5285    124.9483   1.5177     0.0014     0.0002     0.0934     0.0934     
5453.9388  6.2290     18.6418    128.3248   1.4727     0.0092     0.0364     0.1976     0.1976     
5454.0912  6.2047     18.7550    141.2622   1.4463     0.0170     0.3103     0.3019     0.3019     
5454.2436  6.5991     18.7047    134.8299   1.3760     0.1196     78.9652    0.5822     0.5932     
5454.3960  6.8991     18.9438    134.6628   1.4104     0.2283     649.6901   0.7790     0.7963     
5454.5484  8.3997     19.0067    145.8066   1.3860     0.3038     1635.4379  0.8458     0.8617     
5454.7008  11.6679    19.1200    229.3337   1.3777     0.2992     1535.4979  0.8373     0.8467     
5454.8532  17.2426    19.1577    180.1592   1.3819     0.3035     1599.5045  0.8361     0.8439     
5455.0056  23.9148    19.1577    156.4957   1.4405     0.3077     1665.9714  0.8350     0.8411     
