DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          api        in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5426.2116  20.1628    8.6721     74.9263    1950.0000  0.0052     0.0027     0.0943     0.0951     
5426.3640  24.1577    9.1643     117.7983   1950.0000  0.0059     0.0016     0.0590     0.0609     
5426.5164  29.6225    9.9011     200.2380   1948.7893  0.0064     0.0015     0.0485     0.0528     
5426.6688  30.3476    10.7536    339.2298   1925.5138  0.0078     0.0025     0.0483     0.0548     
5426.8212  34.3640    11.0622    529.7586   1832.2608  0.0119     0.0091     0.0585     0.0658     
5426.9736  40.4676    11.1634    623.1735   1596.6858  0.0278     0.1278     0.0818     0.0877     
5427.1260  41.2360    11.1854    531.4138   1866.9006  0.0651     2.8852     0.1185     0.1258     
5427.2784  36.4121    10.3280    374.7716   1473.8231  0.1027     21.0091    0.1482     0.1600     
5427.4308  23.6936    8.7720     284.5687   270.4333   0.1311     70.2630    0.1672     0.1841     
5427.5832  15.0745    8.4709     225.1143   158.6155   0.1454     125.6749   0.1752     0.1944     
5427.7356  10.3187    8.4657     271.8361   113.7891   0.1446     137.3326   0.1723     0.1883     
5427.8880  8.1867     8.4813     180.1038   93.0446    0.1361     115.6386   0.1645     0.1748     
5428.0404  8.3049     8.4816     92.9996    34.9890    0.1270     93.7224    0.1554     0.1609     
5428.1928  7.0929     8.4976     82.9578    38.2304    0.1170     71.4533    0.1443     0.1468     
5428.3452  6.5704     8.4657     80.7741    69.6987    0.1040     40.4834    0.1304     0.1329     
5428.4976  7.7365     8.4865     66.6787    77.9222    0.0949     22.8351    0.1208     0.1269     
5428.6500  7.7577     8.4867     56.5836    79.2606    0.0940     19.1229    0.1203     0.1306     
5428.8024  7.3940     8.5028     53.2258    67.5908    0.0950     18.7238    0.1228     0.1351     
5428.9548  6.7612     8.4764     49.9342    66.3214    0.0929     16.2219    0.1225     0.1350     
5429.1072  6.3150     8.4976     47.7923    51.8115    0.0856     10.7568    0.1162     0.1291     
5429.2596  8.8160     8.4818     40.3893    54.1691    0.0738     5.3371     0.1040     0.1191     
5429.4120  12.3036    8.4976     51.1533    62.2657    0.0623     2.5142     0.0918     0.1089     
5429.5644  17.0109    8.4764     46.2965    74.1118    0.0553     1.5243     0.0850     0.1009     
5429.7168  24.0718    8.4816     43.1739    85.1199    0.0525     1.2448     0.0832     0.0947     
5429.8692  29.4082    8.4865     45.1435    86.7898    0.0508     1.1123     0.0823     0.0883     
5430.0216  33.0811    8.4867     58.3181    102.6986   0.0501     1.0793     0.0813     0.0842     
5430.1740  35.5136    8.5081     67.2505    127.1563   0.0519     1.2415     0.0817     0.0879     
5430.3264  43.2554    8.4976     85.1939    123.8309   0.0564     1.6993     0.0852     0.0978     
5430.4788  49.9231    8.4976     95.5630    118.4619   0.0632     2.6677     0.0919     0.1099     
5430.6312  46.0298    8.5028     159.0446   152.0215   0.0721     4.5558     0.1013     0.1241     
5430.7836  30.4494    8.4815     324.8884   204.6117   0.0805     7.2514     0.1092     0.1352     
5430.9360  17.4579    8.4865     355.5436   270.7049   0.0839     9.0417     0.1091     0.1340     
5431.0884  14.1274    8.4922     399.3364   274.5865   0.0837     9.9551     0.1040     0.1254     
5431.2408  20.9108    8.4869     375.9294   192.5426   0.0829     10.8710    0.1002     0.1179     
5431.3932  30.1163    8.4976     258.1708   147.2004   0.0822     11.4484    0.0997     0.1134     
5431.5456  35.9510    8.4924     152.6587   88.8349    0.0782     8.8015     0.1011     0.1102     
5431.6980  34.8432    8.4761     103.9356   66.2339    0.0700     4.8044     0.1018     0.1057     
5431.8504  31.6880    8.4709     75.3948    50.5951    0.0633     2.9024     0.1011     0.1019     
5432.0028  29.8420    8.4815     54.2390    43.2288    0.0629     2.8158     0.1014     0.1014     
5432.1552  32.2613    8.4813     60.7415    48.5507    0.0743     6.5810     0.1077     0.1081     
5432.3076  27.9402    8.4976     71.5225    61.8202    0.0942     27.4993    0.1185     0.1201     
5432.4601  21.3119    8.4816     100.1591   79.3521    0.1109     93.8018    0.1284     0.1303     
5432.6125  15.5459    8.4872     137.7143   130.9328   0.1138     130.9334   0.1296     0.1309     
5432.7649  12.6938    8.4869     221.8306   183.0979   0.1030     72.1675    0.1202     0.1207     
5432.9173  11.3810    8.4657     337.4080   261.2067   0.0819     17.9126    0.1020     0.1021     
5433.0697  8.9158     8.4870     327.0460   298.4825   0.0619     3.5374     0.0863     0.0865     
5433.2221  8.6406     8.4761     303.9547   196.1283   0.0544     1.6499     0.0839     0.0852     
5433.3745  8.6325     8.4869     258.6082   169.5885   0.0550     1.5778     0.0889     0.0926     
5433.5269  11.2947    8.4918     163.2081   143.7484   0.0558     1.5976     0.0933     0.0995     
5433.6793  17.7101    8.4869     113.7618   99.7299    0.0518     1.1573     0.0916     0.0974     
5433.8317  29.9908    8.4815     84.0574    62.9611    0.0449     0.6565     0.0823     0.0851     
5433.9841  34.9870    8.4869     51.0123    44.4207    0.0452     0.7236     0.0752     0.0759     
5434.1365  33.7661    8.4973     63.6590    61.8449    0.0530     1.7348     0.0765     0.0766     
5434.2889  26.1513    8.4761     93.0538    95.1805    0.0609     3.9527     0.0808     0.0811     
5434.4413  20.5027    8.4973     122.3809   142.7540   0.0602     3.5117     0.0804     0.0815     
5434.5937  18.2984    8.4710     158.4085   195.8722   0.0484     1.0783     0.0725     0.0736     
